Countries and areas,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Afghanistan,33.93911,67.709953,0,0,0,0,0,0,44,69,high,moderately low,moderate,low,moderately low,very low,22,25,13,11,0,0,74,56,32.49,very high,extremely low,moderately low
Albania,41.153332,20.168331,4,2,6,3,6,1,21,15,ultra high,ultra high,ultra high,ultra high,very high,very high,0,0,0,0,48,58,99,100,11.78,very high,moderately low,moderate
Algeria,28.033886,1.659626,0,0,0,0,0,0,0,0,ultra high,ultra high,moderate,high,low,moderately low,0,0,0,0,21,19,98,97,24.28,very high,moderately low,moderately low
Andorra,42.506285,1.521801,0,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,7.2,very high,extremely low,extremely low
Angola,11.202692,17.873887,31,39,0,0,0,0,0,0,high,moderately high,moderate,moderately low,low,very low,0,0,0,0,0,0,0,0,40.73,very high,extremely low,low
Anguilla,18.220554,63.068615,14,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,0.0,extremely low,extremely low,extremely low
Antigua and Barbuda,17.060816,61.796428,14,4,4,1,1,2,14,12,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,15.33,very high,very low,extremely low
Argentina,38.416097,63.616672,2,2,0,0,0,0,15,7,ultra high,ultra high,high,very high,moderate,moderately high,76,71,46,56,48,31,99,100,17.02,very high,high,moderately low
Armenia,40.069099,45.038189,52,50,9,9,11,9,16,4,ultra high,ultra high,ultra high,ultra high,high,very high,0,0,0,55,0,50,0,0,13.99,high,moderately low,moderately high
Australia,25.274398,133.775136,13,14,0,0,2,3,10,6,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,94,70,0,64,80,78,0,0,12.6,high,extremely high,very low
Austria,47.516231,14.550072,0,0,0,0,1,0,10,9,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,98,0,76,79,0,0,9.7,very high,high,very low
Azerbaijan,40.143105,47.576927,32,19,10,7,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,81,0,0,0,0,0,14.0,high,very low,very low
The Bahamas,25.03428,77.39628,0,0,0,0,23,21,29,24,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,13.97,moderately high,very low,moderately low
Bahrain,26.0667,50.5577,31,28,2,3,7,0,18,6,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,69,40,0,0,0,39,100,99,13.99,high,moderately low,extremely low
Bangladesh,23.684994,90.356331,0,0,0,0,0,0,41,36,very high,extremely high,moderately high,very high,moderately low,low,47,34,44,32,54,57,94,96,18.18,extremely high,very low,very low
Barbados,13.193887,59.543198,6,10,1,2,7,3,7,3,ultra high,ultra high,ultra high,ultra high,ultra high,ultra high,0,0,0,0,0,0,0,0,10.65,high,moderate,moderately low
Belarus,53.709807,27.953389,0,4,1,2,1,1,6,4,ultra high,ultra high,ultra high,ultra high,ultra high,ultra high,0,0,0,0,77,71,100,100,9.9,high,high,very low
Belgium,50.503887,4.469936,3,2,1,0,1,1,1,2,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,79,80,0,0,10.3,very high,moderately high,very low
Belize,17.189877,88.49765,18,16,1,1,9,11,38,35,ultra high,ultra high,moderately high,high,moderate,moderately high,0,0,0,0,0,0,0,0,20.79,very high,very low,low
Benin,9.30769,2.315834,15,16,3,10,27,43,46,66,moderately high,moderate,low,very low,very low,extremely low,9,34,23,11,0,0,70,52,36.22,extremely high,extremely low,extremely low
Bhutan,27.514162,90.433601,58,59,5,2,18,6,33,22,high,very high,moderate,moderately low,low,very low,0,0,0,0,56,0,0,0,17.26,high,very low,extremely low
Bolivia,16.290154,63.588653,9,8,5,5,13,14,22,22,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,21.75,high,extremely low,very low
Bosnia and Herzegovina,43.915886,17.679076,72,73,0,0,0,0,22,19,ultra high,ultra high,ultra high,ultra high,ultra high,ultra high,0,0,0,0,46,42,0,0,8.11,extremely low,very low,high
Botswana,22.328474,24.684866,79,78,12,10,0,0,0,0,ultra high,ultra high,ultra high,ultra high,moderately high,high,0,0,0,16,0,0,0,0,24.82,very high,very low,high
Brazil,14.235004,51.92528,0,1,1,1,2,3,16,14,ultra high,ultra high,extremely high,extremely high,high,very high,80,71,53,52,50,32,99,99,13.92,very high,moderately low,moderate
British Virgin Islands,18.420695,64.639968,9,2,4,3,8,7,24,16,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,0.0,extremely low,extremely low,extremely low
Brunei,4.535277,114.727669,17,18,0,0,0,0,19,16,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,48,52,100,100,14.9,very high,low,moderately low
Bulgaria,42.733883,25.48583,19,20,13,13,12,13,10,14,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,95,75,53,56,0,0,8.9,high,moderately high,very low
Burkina Faso,12.238333,1.561593,81,81,21,22,48,44,67,65,moderately low,low,very low,extremely low,extremely low,extremely low,36,59,21,22,0,0,62,55,37.93,high,extremely low,low
Burundi,3.373056,29.918886,52,50,9,6,36,31,67,62,moderate,moderately high,low,very low,extremely low,extremely low,79,97,7,40,0,0,0,0,39.01,extremely high,extremely low,extremely low
Cape Verde,16.5388,23.0418,19,19,6,7,14,13,29,24,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,19.49,very high,very low,moderate
Cambodia,12.565679,104.990963,48,44,9,9,12,14,0,0,high,very high,moderate,moderately low,very low,very low,0,0,50,0,8,10,0,0,22.46,very high,extremely low,extremely low
Cameroon,7.369722,12.354722,56,57,4,13,33,40,50,58,very high,very high,moderately high,moderate,low,low,30,57,24,12,0,0,88,82,35.39,very high,extremely low,very low
Canada,56.130366,106.346771,0,0,0,0,0,0,6,6,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,96,69,0,0,86,84,0,0,10.1,high,moderate,very low
Central African Republic,6.611111,20.939444,0,0,0,0,0,0,0,0,moderately high,moderately low,very low,extremely low,extremely low,extremely low,0,0,0,0,0,0,48,29,35.35,very high,extremely low,very low
Chad,15.454166,18.732207,85,87,17,35,55,70,71,85,moderately low,low,very low,extremely low,very low,extremely low,18,48,3,3,0,0,0,0,42.17,moderately high,extremely low,extremely low
Chile,35.675147,71.542969,8,8,1,2,5,6,5,5,ultra high,ultra high,ultra high,ultra high,extremely high,extremely high,94,90,70,75,68,28,0,0,12.43,high,high,low
China,35.86166,104.195397,0,0,0,0,0,0,0,0,ultra high,ultra high,ultra high,ultra high,high,high,82,85,0,0,80,79,100,100,10.9,high,moderately low,very low
Colombia,4.570868,74.297333,3,1,3,2,6,5,22,20,ultra high,ultra high,very high,extremely high,high,very high,79,64,55,48,50,35,99,99,14.88,very high,moderately low,moderately low
Comoros,11.6455,43.3333,71,70,18,18,20,18,52,48,very high,very high,moderate,moderate,low,moderately low,0,0,0,0,0,0,78,78,31.88,high,extremely low,very low
Republic of the Congo,0.228021,15.827659,71,70,15,16,0,0,0,0,very high,extremely high,moderately high,moderate,low,very low,38,72,17,6,0,0,85,79,32.86,very high,extremely low,moderately low
Cook Islands,21.236736,159.777671,3,0,2,2,4,6,30,27,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,0.0,extremely low,extremely low,extremely low
Costa Rica,9.748917,83.753428,4,4,3,3,3,1,7,5,ultra high,ultra high,high,very high,moderately high,moderately high,89,84,68,60,58,40,99,100,13.97,very high,moderately low,moderately low
Ivory Coast,7.539989,5.54708,78,78,2,8,41,48,52,64,moderately high,moderately high,moderately low,low,very low,very low,17,33,22,3,0,0,64,53,35.74,high,extremely low,very low
Croatia,45.1,15.2,5,5,0,0,3,1,16,11,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,67,78,69,0,0,9.0,high,moderate,low
Cuba,21.521757,77.781167,2,2,1,1,10,10,20,15,ultra high,ultra high,ultra high,ultra high,extremely high,extremely high,0,0,0,0,0,0,0,0,10.17,very high,low,extremely low
Cyprus,35.126413,33.429859,1,2,0,1,2,2,6,8,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,74,0,0,56,63,0,0,10.46,high,moderately high,low
Czech Republic,49.817492,15.472962,10,10,1,0,1,2,3,3,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,97,78,0,0,79,80,0,0,10.7,high,moderate,extremely low
North Korea,40.339852,127.510093,0,0,0,0,0,0,0,0,ultra high,ultra high,ultra high,ultra high,ultra high,ultra high,94,0,0,0,0,0,0,0,13.89,very high,very low,extremely low
Democratic Republic of the Congo,4.038333,21.758664,0,0,0,0,0,0,0,0,high,high,moderately high,moderately high,moderately low,low,0,0,0,0,0,0,0,0,41.18,very high,extremely low,very low
